Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
ar Argentina,1,7,7,690,7.7,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0
au Australia,1,4,4,360,4.0,6,1.5,18,12,66.7,2,0,2,2,50.0,0,0,0,0,
be Belgium,1,3,3,270,3.0,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0
br Brazil,3,5,5,480,5.3,3,0.56,10,7,70.0,3,1,1,2,40.0,0,0,0,0,
cm Cameroon,2,3,3,260,3.0,4,1.38,15,11,73.3,1,1,1,1,33.3,0,0,0,0,
ca Canada,1,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,
cr Costa Rica,1,3,3,270,3.0,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0
hr Croatia,1,7,7,690,7.7,7,0.91,31,24,80.6,2,4,1,2,28.6,1,1,0,0,0.0
dk Denmark,1,3,3,270,3.0,3,1.0,11,8,72.7,0,1,2,1,33.3,0,0,0,0,
ec Ecuador,1,3,3,270,3.0,3,1.0,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0
eng England,1,5,5,450,5.0,4,0.8,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0
fr France,2,7,7,660,7.3,8,1.09,27,19,81.5,5,1,1,1,14.3,4,3,0,1,0.0
de Germany,1,3,3,270,3.0,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,
gh Ghana,1,3,3,270,3.0,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0
ir IR Iran,2,3,3,270,3.0,7,2.33,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
jp Japan,1,4,4,390,4.3,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0
kr Korea Republic,1,4,4,360,4.0,8,2.0,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0
mx Mexico,1,3,3,270,3.0,3,1.0,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0
ma Morocco,2,7,7,660,7.3,5,0.68,14,10,64.3,3,2,2,4,57.1,0,0,0,0,
nl Netherlands,1,5,5,480,5.3,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0
pl Poland,1,4,4,360,4.0,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0
pt Portugal,1,5,5,450,5.0,6,1.2,17,11,64.7,3,0,2,1,20.0,0,0,0,0,
qa Qatar,2,3,3,270,3.0,7,2.33,12,5,50.0,0,0,3,0,0.0,1,1,0,0,0.0
sa Saudi Arabia,1,3,3,270,3.0,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0
sn Senegal,1,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,
rs Serbia,1,3,3,270,3.0,8,2.67,24,16,66.7,0,1,2,0,0.0,0,0,0,0,
es Spain,1,4,4,390,4.3,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,
ch Switzerland,2,4,4,360,4.0,9,2.25,23,14,60.9,2,0,2,1,25.0,0,0,0,0,
tn Tunisia,1,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,
us United States,1,4,4,360,4.0,4,1.0,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0
uy Uruguay,1,3,3,270,3.0,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0
wls Wales,2,3,3,269,3.0,6,2.01,14,8,57.1,0,1,2,0,0.0,0,0,0,0,
